F-Power,株式会社F-Power（エフパワー）は、2009年に株式会社ファーストエスコから電気事業を分割して創設された特定規模電気事業者（新電力）である。
SBエナジー,SBエナジー株式会社はソフトバンクグループの完全子会社であり、FITを利用した太陽光発電や風力発電など再生可能エネルギー発電事業を行うIPPである。また2016年に予定されている電力小売り全面自由化に向けてグループ会社SBパワーを通じて電力小売事業（PPS）や一般家庭・企業から低圧電力買取サービスを推進している。孫正義は2011年08月05日毎日新聞社のインタビューに対し「（自然エネルギー事業は）本業でないし、本業にするつもりもない。自然エネルギー専門の新会社を作り、主要株主として方向性と枠組みは示すが、利益の配当は40年間は受け取らない。利益はすべて自然エネルギー関連に再投資する」とコメントしている。
SBパワー,SBパワー株式会社（英: SB Power Corp.）は、ソフトバンクグループのPPS。現在はソフトバンクグループの完全子会社となっているが再編前はIPPであるSBエナジーの子会社であった。グループ内の役割分担はSBエナジーが太陽光発電や風力発電を行い、SBパワーがSBエナジーや一般企業およびJEPXから電力調達を行い、小売電気事業者として委託先のソフトバンクテレコムを通して法人向けに電力販売や電力買取を行っている。電力の小売りが全面自由化される2016年4月には一般家庭向け販売を目指している。
イーレックス,"イーレックス株式会社（英: EREX Co.,Ltd）は、特定規模電気事業者、PPS、新電力の1つ。"
イオングリーン電力,"イオングリーン電力株式会社（英称：ION GREEN ELECTRICITY CO., LTD.）は、愛知県名古屋市に本社がある電力会社。"
ウインド・パワー・いばらき,ウインド・パワー・いばらきは、茨城県神栖市にある風力発電事業を行う企業である。
エネット,株式会社エネット（英：ENNET Corporation）は、NTTファシリティーズ・東京ガス・大阪ガスの共同出資によって設立された電気事業者（電力会社）。特定規模電気事業を営む特定規模電気事業者（新電力）で、自家発電等の電気の購入・販売、小型の火力発電所やマイクロ型の水力発電についてのエネルギーコンサルティングを行っている。社名のエネットとは、英単語のenergyとnetworkとを合成させた造語である。
ガスアンドパワー,"株式会社ガスアンドパワー（英: Gas and Power Co.,Ltd.）は、大阪府大阪市中央区に本社を置く電気事業者。大阪瓦斯の100%子会社で、卸電力事業などを行う。"
クリーンエナジーファクトリー,クリーンエナジーファクトリー株式会社は、日本の風力発電事業者である。略称はCEF。
クリーンガス福井,クリーンガス福井株式会社（クリーンガスふくい）は、福井県を営業エリアとする液化石油ガス（いわゆるプロパンガス）を供給する会社である。
グリーンパワーインベストメント,グリーンパワーインベストメント（英: Green Power Investment Corporation）は、トーメン（現在は豊田通商に吸収）常務執行役員および東京電力との合弁子会社ユーラスエナジーホールディングスの創業者兼代表取締役会長であった堀俊夫を中心にトーメン社員らにより設立された元・三菱商事系ベンチャー企業である。風力発電ファンドとして風力発電、太陽光発電事業に取り組んでいる。
くろしお風力発電,くろしお風力発電株式会社（くろしおふうりょくはつでん）は、日本の企業。発電所の設置、運営を手がけている。
ケイハイ,株式会社ケイハイは、千葉県船橋市に本社を置く都市ガス工事を中心に建築設備工事等を行う企業である。また、京葉瓦斯グループの中核企業でもある。
サイサン,"株式会社サイサン（英: Saisan Co.,Ltd.）は、さいたま市大宮区に本社を置く企業。Gas Oneブランドで家庭用LPガスを販売するほか、産業用・医療用ガスの供給を行う。関連会社においては液化天然ガス（都市ガス）の供給も行っている。"
サミットウインドパワー鹿嶋発電所,サミットウインドパワー鹿嶋発電所（サミットウインドパワーかしまはつでんしょ）は、茨城県鹿嶋市にある風力発電所。
サミットエナジー,サミットエナジー株式会社（英: Summit Energy Corporation）は、住友商事グループの特定規模電気事業者。自社グループの発電所および発電設備を持つ一般事業会社から購入した電力の販売を行う。
シーエナジー,株式会社シーエナジー（英: Cenergy Co.）は、愛知県名古屋市中区に本社を置く中部電力グループのガス販売子会社。
スエズ_(会社),スエズ (SUEZ S.A.) は、かつて存在した企業。1822年に創立。フランス・パリに本社を置き、水道事業や電力事業、ガス事業などを行っていた。2006年2月25日、フランスガス公社(GDF) と合併すると発表。2008年7月22日、合併しGDFスエズ（現：エンジー）となる。また、水道事業はスエズ・エンバイロメントに分割された。
ダイヤモンドパワー,ダイヤモンドパワー株式会社（英: Diamond Power Corporation）は、中部電力グループの電気事業者（電力会社）。特定規模電気事業を営む特定規模電気事業者 (PPS) で、東京電力・中部電力・関西電力の供給エリア内の特別高圧および大口高圧の需要家に電気を供給する。かつては三菱商事子会社で三菱グループに属していたが、2013年（平成25年）10月1日に中部電力が株式の80%を取得し子会社化した。なお、株式の残り20%は引き続き三菱商事が保有している。
ファーストエスコ,"株式会社ファーストエスコ（英: The First Energy Service Co., Ltd.）は、東京都中央区に本社を置く日本初のESCO事業専業の会社である。"
フランスガス公社,フランスガス公社（Gaz de France、GDF）は、かつて存在したフランスの公営企業。天然ガスの製造、輸送、販売を世界レベルで行っていた。主な市場は、フランス以外では、ベルギー、イギリス、ドイツ、その他のヨーロッパ諸国。スエズと2008年7月22日に合併し、GDFスエズ（現在の社名は「エンジー」）が設立され、事業を継承した。
みなとみらい21熱供給,みなとみらい21熱供給株式会社（みなとみらい21ねつきょうきゅう、MM21 DHC）は、横浜市中区に本社を置く地域熱供給会社。正式な商号表記はみなとみらい二十一熱供給株式会社である。みなとみらい中央地区のオフィスビル、商業施設、ホテル、コンベンションセンター、病院、マンション、地下鉄駅（みなとみらい線の駅）などに対して熱供給事業を行う。
メタウォーター,"メタウォーター株式会社（英: METAWATER Co., Ltd.）は、東京都千代田区に本社を置く水環境エンジニアリング会社。"
レモンガス,レモンガス株式会社は、首都圏と静岡県を中心にLPガスの小売、卸売、またLPガス機器販売を行う企業である。
旭川ガス,旭川ガス株式会社（あさひかわガス）は、北海道旭川市に本社を置く、日本の都市ガスを主力とするエネルギー販売会社。旭川市、東神楽町、鷹栖町、江別市の一部、南幌町において都市ガス事業を展開している。
伊方エコ・パーク,伊方エコ・パーク（いかたえこ・ぱーく）は、風力発電事業を行う企業。エコ・パワーと伊方町の出資で設立された第3セクターである。
因の島ガス,"因の島ガス株式会社（いんのしまガス、英文名称INNOSHIMA GAS Co.,Ltd.）は、広島県尾道市の因島地区に都市ガスを供給する一般ガス事業者。中国地方の都市ガス事業者の中では最も小規模である。"
栄ガス消費生活協同組合,栄ガス消費生活協同組合（さかえガスしょうひせいかつきょうどうくみあい、英: SAKAE GAS Corporation. ）は、新潟県三条市に本部を置く一般ガス事業者。日本ガス協会の加盟法人としては唯一生活協同組合の形態をとり、三条市の一部（栄地区）において都市ガスの供給を行う。
越後天然ガス,"越後天然ガス株式会社（えちごてんねんガス、英: ECHIGO TENNEN GAS Co.,Ltd.）は、新潟県新潟市秋葉区に本社を置く一般ガス事業者。"
越前エネライン,"越前エネライン株式会社（えちぜんエネライン、Echizen Eneline Co., Ltd. ）は、福井県越前市（旧武生市）を営業エリアとする一般ガス事業者である。"
塩釜ガス,塩釜ガス株式会社（しおがまがす）は、宮城県塩竈市に本社を置く一般ガス事業者。塩竈市およびその周辺に都市ガスを供給する。
横浜熱供給,横浜熱供給株式会社（よこはまねつきょうきゅう）は、横浜市西区に本社を置く地域熱供給会社。相鉄グループに属し、横浜駅西口地区の商業施設や地下鉄駅に熱供給事業を行う。
岡山ガス,岡山ガス（おかやまガス）は岡山県岡山市に本社を置く一般ガス事業者である。
沖縄ガス,沖縄ガス株式会社（おきなわガス）（登記上：沖縄瓦斯株式会社）は、沖縄県那覇市に本社を置き、都市ガスを主力とするエネルギー販売会社である。沖縄県内で唯一、都市ガスを扱っている企業であり、那覇市を中心に、浦添市、豊見城市、西原町、南風原町、中城村に都市ガスを供給している。
沖縄電力,沖縄電力株式会社（おきなわでんりょく）は、沖縄県を事業地域とする電力会社。浦添市に本社を置く。
角栄ガス,"角栄ガス株式会社（かくえいガス、英: Kakuei Gas Co.,Ltd.）は、東京都渋谷区に本社を置く一般ガス事業者。埼玉県と千葉県の5か所の、角栄団地として分譲された地域において都市ガスの供給を行う。社名は創業者の角田式美から採られており、田中角栄元内閣総理大臣との関係はない。"
釜石ガス,"釜石ガス株式会社（かまいしガス、商号:釜石瓦斯株式会社、英: Kamaishi Gas Co., Ltd.）は、岩手県釜石市に本社を置く一般ガス事業者。釜石市において都市ガス及びプロパンガスの供給を行う。"
関西電力,"関西電力株式会社（かんさいでんりょく）は、近畿地方2府4県（京都府、大阪府、滋賀県、兵庫県（赤穂市福浦を除く）、奈良県、和歌山県）および福井県（三方郡美浜町以西）、三重県（熊野市以南）、さらには岐阜県不破郡関ケ原町の一部を営業区域とする電力会社。略称として関電（かんでん）や、KEPCO（Kansai Electric Power Co., Inc.＝ケプコ）が使われる。"
岩見沢ガス,岩見沢ガス株式会社（いわみざわガス）は、北海道岩見沢市に本社を置く、都市ガス（天然ガス）を主力とするエネルギー販売会社である。勇払ガス田からタンクローリーによる天然ガスの供給を受けている。
岩谷瓦斯,岩谷瓦斯株式会社（いわたにガス）は大阪市北区西天満に本社を置く企業。岩谷産業のグループ企業。
宮崎ガス,宮崎ガス株式会社（登記上の社名：宮崎瓦斯株式会社、みやざきガス）は宮崎県宮崎市に本社を置く一般ガス事業者で、宮崎県唯一の都市ガス事業者となっている。企業キャッチフレーズは「青い炎にまごころを込めて」。
京葉ガス,京葉ガス株式会社（けいようがす、商号:京葉瓦斯株式会社）は、千葉県市川市に本社を置く都市ガスを主力とするエネルギー供給・販売企業である。また、京葉ガスグループの中核企業でもある。 東日本に位置する都市ガス会社の中では、東京ガスに次ぐ規模を誇るが、自社でLNG受入れ基地および都市ガス製造工場を持たないため、東京ガスから導管(東京湾海底を通るパイプライン)を通じて都市ガスの卸供給を受け、自社エリアの需要家に供給している。全国のガス会社の中でも、供給エリア内の電化率は低いレベルにある。
京和ガス,京和ガス（けいわガス）とは、千葉県流山市に本社のある、都市ガスを主力とするエネルギー供給・販売企業を行う会社で、京葉ガスの子会社である。
桐生ガス,桐生ガス株式会社（きりゅうガス）は、群馬県桐生市に本社を置く、一般ガス事業者である。
金沢市企業局,金沢市企業局（かなざわしきぎょうきょく）は、石川県金沢市が経営する地方公営企業。地方公営企業法第2条で適用される事業のうち、水道事業（上水道）、工業用水道事業、ガス事業（都市ガス）、電気事業(発電)を、市の条例で地方公営企業法の全部を適用する下水道事業を行っている。
九州電力,"九州電力株式会社（きゅうしゅうでんりょく、英: KYUSHU ELECTRIC POWER CO., INC.）は、九州地方7県（福岡県、長崎県、大分県、佐賀県、宮崎県、熊本県、鹿児島県）および広島県の一部を事業地域とする電力会社。ただし、屋久島においては単なる配電事業者にすぎず、また九州電力以外の配電事業者も存在する。（詳しくは屋久島電工の項を参照のこと。）"
釧路ガス,釧路ガス株式会社（くしろガス）は、北海道釧路市に本社を置く、日本の都市ガスを主力とするエネルギー販売会社である。釧路市、釧路郡釧路町において都市ガス事業を展開している。
君津共同火力,"君津共同火力株式会社（きみつきょうどうかりょく、英: Kimitsu Cooperative Thermal Power Company, Inc.)）は、千葉県君津市に本社を置く電気の卸供給事業者。"
戸畑共同火力,戸畑共同火力株式会社（とばたきょうどうかりょく）は、福岡県北九州市に本社を置く卸電気事業者である。
厚木ガス,厚木ガス（あつぎガス）は、神奈川県厚木市に本社をおく都市ガスおよび液化石油ガスの供給会社である。
幸手都市ガス,幸手都市ガス株式会社（さってとしガス）は、埼玉県幸手市に本社を置く一般ガス事業者である。
広島ガス,広島ガス株式会社（ひろしまガス）は、広島市南区に本社を置く広島市を中心に広島県海岸部を営業区域とする一般ガス事業者である。
弘前ガス,弘前ガス株式会社（ひろさきがす）とは青森県弘前市で都市ガス事業をおこなっている一般都市ガス事業者である。
荒川水力電気,荒川水力電気株式会社（あらかわすいりょくでんき）は、宮城県仙台市に本社を置く電気事業者。東北電力グループ企業。
埼玉ガス,埼玉ガス株式会社（さいたまガス）は、埼玉県深谷市に本社を置く、一般ガス事業者である。国際石油開発帝石（旧帝国石油）のグループ会社である。
三崎ウィンド・パワー,"三崎ウィンド・パワー株式会社（みさきうぃんど・ぱわー、MISAKI WIND POWER Co., Ltd.）は、愛媛県西宇和郡伊方町にある、風力発電事業を目的とした事業会社。地元伊方町と総合商社丸紅が出資設立した第三セクター。佐田岬半島の先端（同町三崎地区）にて、四国最大規模の風力発電所、三崎ウインドパークを建設，運営している。"
三菱日立パワーシステムズ,"三菱日立パワーシステムズ株式会社（みつびしひたちパワーシステムズ、英: Mitsubishi Hitachi Power Systems , Ltd.）は、日本の企業。本社は横浜市西区。2014年（平成26年）2月1日設立。三菱重工業と日立製作所との火力発電事業統合会社。"
山形ガス,"山形ガス株式会社（やまがたガス）は、山形県山形市に本社を置く、都市ガスを主力とするエネルギー販売会社。山形市中心部約22,000戸に都市ガスを供給する。"
山口合同ガス,山口合同ガス株式会社（やまぐちごうどうガス）は、山口県下関市に本社を置く、山口県の瀬戸内海側の8市を営業エリアとする一般ガス事業者である。
山二ガス,山二ガス株式会社は、関東全域を営業区域とするLPガスの小売及び機器販売を行う事業者である。
山梨県企業局,山梨県企業局（やまなしけんきぎょうきょく）は、山梨県の地方公営企業。山梨県内において、電気事業(発電)、温泉事業及び地域振興事業を行なっている。
四国ガス,"四国ガス株式会社（しこくガス、登記上の商号四國瓦斯株式会社Shikoku-gas Co., Ltd.）は、愛媛県今治市に本店を置く都市ガス事業者である。現在、四国4県の県都を中心に9市4町で、276,269世帯（2009年3月末時点）へ都市ガスを供給している。"
四国電力,四国電力株式会社（しこくでんりょく）は、四国地方4県（香川県、徳島県、高知県、愛媛県）のほぼ全域を営業区域とする電力会社。本店は香川県高松市に置いている。
鹿島共同火力,"鹿島共同火力株式会社（かしまきょうどうかりょく、英: Kashima Kyodo Thermal Electric Power Co., Inc）は茨城県鹿嶋市に本社を置く卸電気事業者である。"
鹿島南共同発電所,鹿島南共同発電所（かしまみなみきょうどうはつでんしょ）は、茨城県神栖市にある火力発電所。
鹿島北共同発電所,鹿島北共同発電所（かしまきたきょうどうはつでんしょ）は、茨城県神栖市にある火力発電所。
室蘭ガス,室蘭ガス株式会社（むろらんガス）は、北海道室蘭市に本社を置く、日本の都市ガスを主力とするエネルギー販売会社である。
篠山都市ガス,篠山都市ガス株式会社（ささやまとしガス）は、兵庫県篠山市に本社を置く一般ガス事業者である。
若松ガス,若松ガス株式会社（わかまつガス）は、福島県会津若松市を中心に都市ガス・LPガス事業を展開する企業。通称「若ガス（わかガス）」。
酒田共同火力発電,酒田共同火力発電株式会社（さかたきょうどうかりょくはつでん、英: Sakata Kyodo Power Company.Ltd.）は山形県酒田市に本社を置く卸電気事業者である。
宗谷岬ウィンドファーム,宗谷岬ウィンドファーム（そうやみさきウィンドファーム）は、北海道稚内市宗谷岬の南部に広がる宗谷丘陵にある集合型風力発電所である。
洲本ガス,洲本ガス株式会社（すもとがす、商号:洲本瓦斯株式会社）は、兵庫県洲本市に本社を置く一般ガス事業者である。
秋田セントラルガス,秋田セントラルガス株式会社（あきたセントラルガス）は秋田県秋田市に本社を置く、プロパンガスを主力とするエネルギー販売会社である。セントラル石油瓦斯グループの一員。現在秋田県では秋田市、由利本荘市に営業所を展開している。シンボルマークは緑地の家の真ん中にハートマークがあり右手に「暮らしの真ん中にいつも。セントラルガス」となっている。
住友共同電力,"住友共同電力株式会社（すみともきょうどうでんりょく、Sumitomo Joint Electric Power Co., Ltd.）は、愛媛県新居浜市に本社を置く電力会社。新居浜市・西条市に所在する住友グループ系の企業や工場などに対し電気や蒸気を供給している。"
出雲ガス,出雲ガス（いずもがす）は、島根県出雲市に本社を置く都市ガス事業者。都市ガスの他、プロパンガス事業も行っている。
小名浜配湯,小名浜配湯株式会社（おなはまはいとう）は、かつて福島県いわき市の小名浜地区で地域熱供給事業を行っていた企業。日本化成と地元資本との共同出資により設立され、1970年より、日本化成小名浜工場の排熱を利用した日本初の地域熱供給事業を開始した。
松本ガス,松本ガス株式会社（まつもとガス）は、松本市とその隣接区域を営業区域とする一般ガス事業者である。
上田ガス,"上田ガス株式会社（うえだガス、英: UEDA GAS Co.,Ltd.）は、長野県上田市に本社を置く一般ガス事業者。上田市の一部に都市ガスの供給を行う。"
上野都市ガス,上野都市ガス株式会社（うえのとしガス）は、三重県伊賀市に本社を置く一般ガス事業者。伊賀市において約1万世帯に都市ガスの供給を行う。プロパンガス事業者である上野ガス株式会社100%子会社という、都市ガス事業者としては例外的な形態をとる。
常磐共同火力,"常磐共同火力株式会社（じょうばんきょうどうかりょく、英: JOBAN JOINT POWER CO.,LTD.）は、東京都千代田区に本社を置く卸電気事業者。常磐炭田の低品位炭を活用した火力発電事業を目的に東北電力・東京電力と常磐地区の炭鉱会社の共同出資により設立された。福島県いわき市に火力発電所を有し、東北・東京両電力会社に電力の卸供給を行う。"
新日本ガス,新日本ガス株式会社（しんにほんがす、商号:新日本瓦斯株式会社）は、埼玉県北本市に本社を置く、日本の都市ガスを主力とするエネルギー販売会社である。北本市、桶川市、久喜市、鴻巣市の一部、白岡市の一部、加須市の一部において都市ガス事業を展開している。
秦野ガス,秦野ガス（はたのガス）は、神奈川県秦野市および平塚市の一部、伊勢原市の一部を供給区域とする都市ガス事業者である。現在の市名の読みは「はだのし」であるが、当社の社名の読みは「はたのがす」である。参照：秦野市#読み
諏訪瓦斯,諏訪瓦斯株式会社（すわがす）は、長野県諏訪市に本社を置く一般ガス事業者。諏訪地域に都市ガスを供給する。
水島ガス,水島ガス株式会社（みずしまガス）は、岡山県倉敷市水島に本社を置く都市ガス等を供給する一般ガス事業者である。
瀬戸内共同火力,瀬戸内共同火力株式会社（せとうちきょうどうかりょく）は、広島県福山市に本社を置く卸電気事業者である。
盛岡ガス,盛岡ガス株式会社（もりおかガス）は、岩手県盛岡市に本社を置く一般ガス事業者。盛岡市および滝沢市の一部の5万世帯あまりに都市ガスの供給、盛岡市・滝沢市・矢巾町・紫波町で簡易ガス事業を行う。2009年の販売量は17244千m2で、用途は家庭用49%、商業用42%、残りがその他となっている。滝沢市にある滝沢工場の全面スイカ柄に塗装されたガスホルダー（タンク）が特に有名である。
西武ガス,西武ガス株式会社（せいぶガス）は、埼玉県飯能市に本社を置く、日本の都市ガス、プロパンガスを主力とするエネルギー販売会社である。
西部ガス,"西部ガス株式会社（さいぶガス、英: Saibugas Co., Ltd.、登記上の商号は西部瓦斯株式会社）は、福岡市博多区千代に本社を置く福岡市を筆頭に北部九州主要都市をエリアとする一般ガス事業者であり、東京ガス、大阪ガス、東邦ガスと共に大手都市ガス4社として報道に用いられる。かつては他3社と異なり災害対策基本法に基づく指定公共機関の指定（平成20年6月24日内閣府告示第240号発布時）は受けていなかったが、2013年10月1日現在では指定を受けている。"
青山高原ウインドファーム,"青山高原ウインドファーム （あおやまこうげんウインドファーム）とは、風力発電事業及び電力の供給を行う日本の企業であり、かつ同社が保有する青山高原に位置する集合型風力発電所の名称である。中部電力グループのシーテックのほか、三重県津市と伊賀市が出資する第三セクターで、出資する両市に跨って位置している。JFEエンジニアリング製のローター直径50.5m、タワー高さ50m、出力750kWの風力発電機が20基建てられており、最大出力は15,000kWである。なお、青山高原には、ウインドパーク久居榊原の4基　ウインドパーク美里の8基　ウインドパーク笠取の19基あわせて発電用風車が51基建てられている。"
静岡ガス,静岡ガス株式会社（しずおかがす）は、静岡県中東部（静岡市、富士市、沼津市、三島市など）を営業エリアとする一般ガス事業者。また、近隣の一般ガス事業者などに卸売りを行っており、山梨県や長野県など静岡県外へも同社のガスが送出されている。都市ガスの販売量は、東京ガス、大阪ガス、東邦ガスに次ぐ全国４位。東証一部上場（証券コード9543）。なお、2015年3月までは静岡瓦斯株式会社を商号としていた。コーポレートスローガンは「くらしを考え、明日をつくる。」。
石巻ガス,石巻ガス株式会社（いしのまきがす）は、宮城県石巻市に本社を置く一般ガス事業者。石巻市に都市ガスを供給する。
仙南ガス,"仙南ガス株式会社（せんなんガス、英: Sennan-gas Co.,Ltd.）は、宮城県柴田郡柴田町に本社を置く一般ガス事業者。宮城県仙南地域の住宅団地において簡易ガス事業、名取市において都市ガスの供給を行う。"
千葉ガス,千葉ガス株式会社（ちばガス）は、千葉県北部を営業区域とする東京ガスグループの一般ガス事業者である。関連事業としてボトルウォーター（アクアクララ）の販売事業も行う。本社は千葉県佐倉市に所在する。コーポレート・スローガンは「安心そのまま、次世代へ。」。
扇島パワー,株式会社扇島パワー（おうぎしまパワー）は、東京ガスと昭和シェル石油の共同出資により設立された企業。東京ガス扇島LNG基地に隣接した東亜石油貯油地跡地にて、ガスタービンと蒸気タービンを組み合わせたガスタービンコンバインドサイクルによる火力発電を行う。
泉北天然ガス発電所,泉北天然ガス発電所（せんぼくてんねんガスはつでんしょ）は、泉北天然ガス発電株式会社が運営するガスタービンコンバインドサイクル発電方式による天然ガス火力発電所である。堺泉北臨海工業地域に位置する大阪瓦斯の泉北製造所に計4基発電機を設置し、特定規模電気事業者(PPS)の発電所として日本最大級の計110.9万kWの発電を行う。最高効率57%(LHV基準)を実現するなど発電効率に優れている。
相馬共同火力発電,"相馬共同火力発電株式会社（そうまきょうどうかりょくはつでん、英: Soma Kyodo Power Company,Ltd.）は、福島県相馬市に本社を置く卸電気事業者。東北電力と東京電力の折半出資により設立された。福島県相馬郡新地町に石炭火力発電所を有し、東北・東京両電力会社に電力の卸供給を行う。"
帯広ガス,帯広ガス株式会社（おびひろガス）は、北海道帯広市に本社を置く、都市ガスを主力とするエネルギー販売会社である。帯広市、幕別町、音更町、芽室町において都市ガス事業を展開している。
袋井ガス,"袋井ガス株式会社（ふくろいガス）は、静岡県袋井市の一部を供給区域とする静岡ガス系の都市ガス事業者。本社所在地は静岡県袋井市高尾1940‐1。供給ガスは天然ガス（13A:熱量46MJ）。2002年末現在の供給戸数は2,020戸。ガスは静岡ガスグループの清水エル・エヌ・ジーから中遠ガス経由で供給を受けている。"
台湾電力,台湾電力（たいわんでんりょく）第二次世界大戦までにあった株式会社。（#日本統治時代で記述）現在、台湾にある電力会社。（#第二次世界大戦後で記述）
